School,GradeSpan,MeasureID,Measure,Domain,Applicability,Reason
University Preparatory Academy,6-12,1.2a,Graduation Rate,Graduation & Advancement,Applicable,High-school graduation outcome
University Preparatory Academy,6-12,1.2b,On-Track Credits,Graduation & Advancement,Applicable,High-school postsecondary readiness
University Preparatory Academy,6-12,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
University Preparatory Academy,6-12,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
University Preparatory Academy,6-12,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
University Preparatory Academy,6-12,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
University Preparatory Academy,6-12,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
University Preparatory Academy,6-12,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
University Preparatory Academy,6-12,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
University Preparatory Academy,6-12,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
University Preparatory Academy,6-12,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
University Preparatory Academy,6-12,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
University Preparatory Academy,6-12,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
University Preparatory Academy,6-12,2.6,SAT Benchmark,Academic Achievement,Applicable,Grade 11 SAT
University Preparatory Academy,6-12,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
University Preparatory Academy,6-12,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
University Preparatory Academy,6-12,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
University Preparatory Academy,6-12,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
University Preparatory Academy,6-12,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Westwood,6-8,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Westwood,6-8,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Westwood,6-8,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Westwood,6-8,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Westwood,6-8,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Westwood,6-8,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Westwood,6-8,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Westwood,6-8,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Westwood,6-8,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Westwood,6-8,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Westwood,6-8,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Westwood,6-8,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
Westwood,6-8,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
Westwood,6-8,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Westwood,6-8,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Westwood,6-8,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Westwood,6-8,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Westwood,6-8,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Westwood,6-8,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
